DisasterId|DisasterNum|ClassificationKey|ISOCode|ExternalReqResId|EventName|RiverBasin|DisasterOrigin|DisasterMagnitude|AidContribution|StartYear|StartMonth|StartDay|EndYear|EndMonth|EndDay|TotalDeaths|NumInjured|NumAffected|NumHomeless|TotalAffected|ReconstructionCost|ReconstructionCostAdj|InsuredDamage|InsuredDamageAdj|TotalDamage|TotalDamageAdj|CPICode|EntryDate|UpdatedDate
1|1902-0011-SUN|nat-geo-ear-gro|SUN|1||||6.4||1902|12.0|16.0|1902|12.0|16.0|4562.0||125112.0||125112.0|||||||C_1902|2003-07-01|2023-09-25
2|1902-0013-SUN|nat-geo-ear-gro|SUN|1||||6.9||1902|2.0|13.0|1902|2.0|13.0|86.0|60.0|17480.0||17540.0|||||||C_1902|2019-08-05|2023-09-25
3|1904-0008-GRC|nat-geo-ear-gro|GRC|1||||6.2||1904|8.0|11.0|1904|8.0|11.0|4.0||1620.0||1620.0|||||||C_1904|2019-08-05|2023-09-25
4|1905-0001-ITA|nat-geo-ear-gro|ITA|1||||7.1||1905|9.0|8.0|1905|9.0|8.0|557.0|2000.0||20100.0|22100.0|||||||C_1905|2003-07-01|2023-09-25
5|1905-0008-ALB|nat-geo-ear-gro|ALB|1||||6.6||1905|6.0|1.0|1905|6.0|1.0|120.0|||||||||23800.0|775175.0|C_1905|2019-08-06|2023-09-25
6|1906-0012-ITA|nat-geo-vol-ash|ITA|1|Mt. Vesuve|||||1906|4.0|18.0|1906|4.0|18.0|700.0|||||||||||C_1906|2003-11-16|2023-09-25
7|1906-0023-BEL|nat-hyd-flo-flo|BEL|1||||||1906|5.0|14.0|1906|5.0|14.0|6.0|||||||||||C_1906|2003-07-01|2023-09-25
8|1906-0024-BEL|nat-hyd-flo-flo|BEL|1||||||1906|4.0||1906|4.0|||||||||||||C_1906|2003-07-01|2023-09-25
9|1908-0006-ROU|nat-geo-ear-gro|ROU|1||||||1908|10.0|6.0|1908|10.0|6.0||||||||||||C_1908|2003-07-01|2023-09-25
10|1908-0007-ITA|nat-geo-ear-gro|ITA|1||||7.0||1908|12.0|28.0|1908|12.0|28.0|75000.0||150000.0||150000.0|||||116000.0|3778163.0|C_1908|2011-05-23|2023-09-25
11|1909-0009-FRA|nat-geo-ear-gro|FRA|1||||6.2||1909|6.0|11.0|1909|6.0|11.0|46.0|||||||||||C_1909|2004-01-21|2023-09-25
12|1909-0019-PRT|nat-geo-ear-gro|PRT|1||||6.6||1909|4.0|23.0|1909|4.0|23.0|30.0|||||||||||C_1909|2019-08-06|2023-09-25
13|1911-0021-SUN|nat-geo-ear-gro|SUN|1||||7.4||1911|2.0|18.0|1911|2.0|18.0|90.0|||||||||||C_1911|2019-08-07|2023-09-25
14|1913-0008-ROU|nat-geo-ear-gro|ROU|1||||6.8||1913|6.0|14.0|1913|6.0|14.0||||||||||||C_1913|2003-07-01|2023-09-25
15|1914-0028-ITA|nat-geo-ear-gro|ITA|1||||4.9||1914|5.0|8.0|1914|5.0|8.0|120.0|||669.0|669.0|||||||C_1914|2019-08-07|2023-09-25
16|1914-0030-GRC|nat-geo-ear-gro|GRC|1||||6.3||1914|11.0|27.0|1914|11.0|27.0|14.0|||||||||||C_1914|2019-08-07|2023-09-25
17|1915-0002-ITA|nat-geo-ear-gro|ITA|1||||7.5||1915|1.0|13.0|1915|1.0|13.0|29980.0|||||||||60000.0|1738812.0|C_1915|2011-05-23|2023-09-25
18|1917-0002-SUN|nat-bio-epi-dis|SUN|1||||||1917|||1917|||2500000.0|||||||||||C_1917|2003-07-01|2023-09-25
19|1920-0005-DFR|nat-hyd-flo-flo|DFR|1||||||1920|8.0||1920|8.0|||||||||||20000.0|292700.0|C_1920|2003-07-01|2023-09-25
20|1920-0014-ITA|nat-geo-ear-gro|ITA|1||||5.8||1920|9.0|7.0|1920|9.0|7.0|1400.0|||||||||||C_1920|2003-07-01|2023-09-25
21|1920-0018-ALB|nat-geo-ear-gro|ALB|1||||6.2||1920|11.0|26.0|1920|11.0|26.0|200.0|||||||||||C_1920|2019-08-07|2023-09-25
22|1921-9001-SUN|nat-cli-dro-dro|SUN|1||||||1921|||1921|||1200000.0||5000000.0||5000000.0|||||||C_1921|2006-02-13|2023-09-25
23|1922-0002-ITA|nat-hyd-mmw-lan|ITA|1||||||1922|2.0|11.0|1922|2.0|11.0|100.0|||||||||||C_1922|2003-07-01|2023-09-25
24|1923-0001-SUN|nat-bio-epi-par|SUN|1||||||1923|||1923|||||18000000.0||18000000.0|||||||C_1923|2003-07-01|2023-09-25
25|1923-0005-SUN|nat-met-sto-hai|SUN|1||||||1923|7.0|10.0|1923|7.0|10.0|23.0|||||||||||C_1923|2003-07-01|2023-09-25
26|1925-0007-DFR|nat-hyd-flo-flo|DFR|1||||||1925|12.0||1925|12.0|||||||||||19000.0|317789.0|C_1925|2003-07-01|2023-09-25
27|1926-0002-ROU|nat-hyd-flo-flo|ROU|1||||||1926|||1926|||1000.0|||||||||||C_1926|2003-07-01|2023-09-25
28|1926-0006-DFR|nat-hyd-flo-flo|DFR|1||||||1926|6.0||1926|6.0|||||||||||31000.0|512638.0|C_1926|2003-07-01|2023-09-25
29|1926-0020-FRA|nat-hyd-mmw-mud|FRA|1||||||1926|11.0|24.0|1926|11.0|24.0|28.0|||||||||||C_1926|2007-03-30|2023-09-25
30|1928-0001-GRC|nat-geo-ear-gro|GRC|1||||||1928|||1928|||103.0|||||||||||C_1928|2003-07-01|2023-09-25
