DisasterAssociateId|DisasterNo|AssociateTypeId
1|2005-0045-ALB|1
2|2017-0015-ITA|1
3|2019-0001-AUT|1
4|2019-0001-CHE|1
5|1953-0007-NLD|2
6|1985-0081-ITA|2
7|1987-0100-CSK|2
8|1991-0172-ROU|2
9|1993-0039-RUS|2
10|1994-0775-RUS|2
11|1998-0608-RUS|2
12|2003-0585-MKD|2
13|2004-0454-RUS|2
14|2004-0633-ALB|2
15|2005-0214-ROU|2
16|2005-0214-SCG|2
17|2005-0229-RUS|2
18|2005-0276-RUS|2
19|2005-0285-RUS|2
20|2005-0337-ROU|2
21|2005-0338-BGR|2
22|2006-0109-SCG|2
23|2006-0156-AUT|2
24|2006-0156-CZE|2
25|2006-0156-DEU|2
26|2006-0209-ROU|2
27|2006-0209-UKR|2
28|2006-0306-RUS|2
29|2006-0333-UKR|2
30|2007-0201-GBR|2
31|2007-0562-MNE|2
32|2010-0193-POL|2
33|2010-0380-POL|2
34|2011-0340-RUS|2
35|2012-0033-BGR|2
36|2014-0280-BGR|2
37|2018-0082-ALB|2
38|2019-0487-RUS|2
39|2021-0278-SVK|2
40|2002-0010-ALB|3
41|2005-0045-ALB|3
42|2005-0045-BGR|3
43|2005-0045-BIH|3
44|2005-0045-CZE|3
45|2005-0045-HRV|3
46|2005-0045-HUN|3
47|2005-0045-MKD|3
48|2005-0045-POL|3
49|2005-0045-ROU|3
50|2005-0045-RUS|3
51|2005-0045-SCG|3
52|2006-0124-FRA|3
53|2017-0010-UKR|3
54|2019-0055-MDA|3
55|2021-0016-ESP|3
56|1987-0074-SUN|4
57|2019-0487-RUS|4
58|1921-9001-SUN|5
59|2003-0391-AUT|6
60|2003-0391-BEL|6
61|2003-0391-CHE|6
62|2003-0391-DEU|6
63|2003-0391-ESP|6
64|2003-0391-FRA|6
65|2003-0391-HRV|6
66|2003-0391-ITA|6
67|2003-0391-SVK|6
68|2003-0391-SVN|6
69|2007-0235-BGR|6
70|2007-0235-ROU|6
71|2017-0176-PRT|6
72|2021-0502-RUS|6
73|2018-0461-ITA|7
74|1921-9001-SUN|8
75|1989-0435-SUN|9
76|1991-0117-SUN|9
77|1991-0307-SUN|9
78|1993-0211-CHE|9
79|1993-0211-FRA|9
80|1993-0212-ITA|9
81|1995-0007-FRA|9
82|1995-0008-DEU|9
83|1995-0008-LUX|9
84|1995-0021-NLD|9
85|1995-0451-GBR|9
86|1997-0271-PRT|9
87|1997-0272-AZO|9
88|1998-0601-DEU|9
89|2000-0714-GBR|9
90|2002-0055-DEU|9
91|2003-0433-ITA|9
92|2004-0568-ITA|9
