LocationID|DisasterNo|Location|Latitude|Longitude
1|1902-0011-SUN|Tashkent, Uzbekistan|41.2994958|69.2400734
2|1902-0013-SUN|Shamakhi, Azerbaijan|40.63187310000001|48.6363801
3|1904-0008-GRC|Patmos, Patmos Municipality 855 00, Greece|37.3129763|26.5468773
4|1904-0008-GRC|Samos, Greece|37.7547857|26.9777701
5|1905-0001-ITA|Monte Poro, 89020 Serrata RC, Italy|38.5415|16.0735
6|1905-0001-ITA|89861 Tropea, Province of Vibo Valentia, Italy|38.6769938|15.8972233
7|1905-0008-ALB|Shkodër, Albania|42.0692985|19.5032559
8|1906-0012-ITA|80045 Pompei, Metropolitan City of Naples, Italy|40.7461572|14.4989344
9|1906-0023-BEL|Leuven, Belgium|50.8822871|4.7137645
10|1908-0006-ROU|Brașov, Romania|45.6426802|25.5887252
11|1908-0006-ROU|Oradea, Romania|47.04650050000001|21.9189438
12|1908-0006-ROU|Brăila, Romania|45.2652463|27.9594714
13|1908-0006-ROU|Ploiești, Romania|44.936664|26.0128616
14|1908-0006-ROU|Bucharest, Romania|44.4267674|26.1025384
15|1908-0006-ROU|Timișoara, Romania|45.7488716|21.2086793
16|1908-0006-ROU|Iași, Romania|47.1584549|27.6014418
17|1908-0006-ROU|Constanța, Romania|44.1759147|28.6519359
18|1908-0006-ROU|Cluj-Napoca, Romania|46.7712101|23.6236353
19|1908-0007-ITA|Reggio Calabria, Metropolitan City of Reggio Calabria, Italy|38.1113006|15.6472914
20|1909-0009-FRA|Charleval, France|43.71697200000001|5.245820999999999
21|1909-0009-FRA|Alpes-de-Haute-Provence, France|44.07787159999999|6.2375947
22|1909-0019-PRT|Rua do Ribatejo, 2130 Santo Estevão, Portugal|38.8995676|-8.7364313
23|1911-0021-SUN|Tajikistan|38.861034|71.276093
24|1913-0008-ROU|Romania|45.943161|24.96676
25|1913-0008-ROU|Veliko Tarnovo, Bulgaria|43.0756739|25.6171514
26|1914-0028-ITA|Mt Etna, 95031 Adrano, Metropolitan city of Catania, Italy|37.751005|14.9934349
27|1914-0030-GRC|Lefkada, Lefkada Municipality, Greece|38.7066464|20.64073
